"行政區域","綜合所得中位數","平均教育程度","有偶比例","女男比","扶老比","每戶平均用電度數","cluster"
"松山區東榮里",1.44409933913546,1.45821092071949,0.865850293817686,0.740895505699449,0.958268358962715,-0.4162075168644,"1"
"松山區東勢里",0.420995006507849,0.85748756563177,1.03687039091217,0.635541183143016,0.959264966010632,0.544732284327403,"1"
"松山區敦化里",0.806626639575179,0.913629935266136,0.615197001205941,0.10471748103176,-0.0642366443563596,0.29171604445728,"5"
"松山區福成里",1.27095860592156,1.34376685954174,0.620840402553735,1.13529886706456,0.702511183459358,0.608831691987701,"1"
"松山區富錦里",0.106193673391661,0.802640789142812,0.0814508700344746,1.11638911686212,0.466979437474167,-0.838256541040552,"5"
"松山區富泰里",0.539045506426419,0.940405526937911,0.367981471395232,2.75343320581592,0.663481470000838,-0.190683454132983,"1"
"松山區復建里",0.877456939526321,0.813437398687884,0.885321146334766,0.039884051766261,-0.355273976422087,-0.294697974590922,"5"
"松山區復盛里",-0.137777359773384,0.206236077873125,-0.15074962019305,0.419429752258026,0.589598817298435,0.507831019825717,"4"
"松山區復勢里",0.436735073163658,0.697265879982927,0.762913708589027,1.26361502915252,0.55625710334351,0.689911561998377,"6"
"松山區復源里",0.0511034400963284,0.585844869477799,0.600456546386942,0.416728359371963,-0.228792461820815,-0.344573488464216,"5"
"松山區吉仁里",0.476085239803182,0.743475368835828,0.892783405266264,0.13983558855057,0.289592724548132,-0.178187009979026,"5"
"松山區吉祥里",0.208504106654422,0.716699777164052,0.692091640158645,0.765208041674011,0.140990191662414,1.07781589023622,"6"
"松山區介壽里",1.26308857259365,1.15979263289374,1.76705740411162,0.211422500031221,0.930955462458584,-0.0731066163432494,"1"
"松山區精忠里",1.77464073890746,1.34894923212337,0.922575573471781,0.319478215473716,1.06235620152695,-0.571641229591122,"1"
"松山區龍田里",1.91630133880974,1.52299057798991,1.75186526277207,0.48291248508049,0.581258229732942,-0.575132883104727,"1"
"松山區美仁里",0.987637406116987,0.745202826363039,1.22377765868793,0.00476594424745096,0.141854729505245,0.215524489365652,"5"
"松山區民福里",-0.192867593068717,0.249422516053407,-0.467445462377952,0.265450357752469,0.587245672339008,-0.406688166758885,"4"
"松山區民有里",0.546915539754324,1.18268144512929,0.208217984687875,0.965111115242626,0.969593769072714,0.896323416023742,"6"
"松山區鵬程里",-0.0118568265269092,0.166072690365463,-0.463409329128821,-0.112744646296262,-0.150746410018313,0.112428825095505,"4"
"松山區三民里",0.507565373114801,1.0151180649898,0.495684289925798,1.32844845841801,1.51093434908946,-0.417934966497447,"1"
"松山區松基里",0.680706106328704,0.810846212397066,0.0211266602306102,0.993475740546281,0.488809322020677,3.12282222178381,"6"
"松山區新東里",0.114063706719566,0.148366250711547,0.219483176598529,0.039884051766261,0.0440032806136067,0.0904497850835444,"4"
"松山區新聚里",-0.200737626396622,0.396256405866364,0.0301829627759838,0.824638685167383,-0.23253687357045,0.860341007709848,"4"
"松山區新益里",-0.169257493085003,0.195007603946251,0.223917559030827,0.199266232043942,0.433519539595153,-0.0371609622768665,"4"
"松山區中華里",1.93991143879346,1.82227259457926,1.88126700956338,0.678763469320015,0.755658301711612,0.538190028270331,"1"
"松山區中崙里",0.688576139656609,0.533157414897856,1.42626799619049,0.920538132622596,-0.596836408781806,0.258563713201781,"5"
"松山區中正里",2.05796193871203,1.23364144218202,2.05682714669702,0.685516951535171,-0.781302382367225,0.63279546136529,"10"
"松山區莊敬里",-0.373878359610525,-0.457971341339605,-0.715981609313879,-0.453120149940123,0.591617970127785,-0.459945071403251,"2"
"松山區自強里",0.460345173147373,0.840644854741461,-0.240316643818271,0.00206455136138888,1.42449227215367,-0.0843166618342996,"4"
"萬華區保德里",-0.893300559252235,-0.787052000273351,-0.618077293582328,-0.867783957950698,0.0900173126210956,0.0477781037225309,"2"
"萬華區菜園里",-1.0034810258429,-1.15629604671476,-1.36455872458007,-1.27569428374612,0.318961291422083,-0.42359512061424,"2"
"萬華區頂碩里",-0.979870925859187,-1.11008655786186,-0.780328135666056,-1.1190134963545,-0.0663557827577948,-0.692084898686763,"2"
"萬華區福星里",-0.948390792547568,-1.0250092746467,-1.12463519940617,-0.366675577586127,0.570309233361705,0.203579358924369,"2"
"萬華區福音里",-0.861820425940616,-0.905814705269125,-0.966677322246662,-0.531460543635932,0.34012842956578,0.279476880035904,"2"
"萬華區富福里",-0.964130859203377,-1.55102009168253,-1.88700508341005,-4.13782004652921,0.30530005514019,-1.75490747398083,"3"
"萬華區富民里",-1.31828235895909,-1.48969534946653,-1.45066943341922,-0.611151633774773,1.11069601095083,0.483389445230478,"2"
"萬華區和德里",-1.60160355876366,-1.8075475344734,-1.89980045078568,-1.18384692562,-0.264531654241045,-0.0670421655038291,"2"
"萬華區和平里",-1.48355305884509,-1.67107838982371,-1.17648805662247,-0.998801512924723,0.322027686257772,-0.114197865061262,"2"
"萬華區華江里",-1.35763252559861,-1.4693977235218,-1.7264466905925,-0.79214495714095,-0.302256671255445,-0.51845783344178,"2"
"萬華區華中里",-1.14514162574519,-1.32990552819949,-1.29749551935854,-0.343713738054597,0.54540172624848,0.248750329116174,"2"
"萬華區錦德里",-1.16088169240099,-1.59463839424462,-1.25349011133407,-0.605748848002648,0.226072458831114,-0.435834285035615,"2"
"萬華區凌霄里",-1.07431132579404,-1.71901533620383,-1.73819043258646,-0.0776265387774515,0.656400318324035,-1.30091900871706,"2"
"萬華區柳鄉里",-1.51503319215671,-2.02952582672005,-2.12010965058054,-1.57149680476995,0.42554380355582,-0.366589282723687,"3"
"萬華區綠堤里",-1.60947359209156,-2.12755904138929,-2.82620817398389,-0.9501764409756,0.76529477577782,-0.861044174497767,"2"
"萬華區銘德里",-1.05857125913823,-1.47587568924884,-1.13019823864936,-0.304543541206693,0.120233282916163,-0.0980259961561406,"2"
"萬華區青山里",-1.28680222564747,-1.68317059251419,-1.67223813610228,-0.812405403786419,0.306845711535045,1.1491191304088,"2"
"萬華區全德里",-0.712289792710427,-0.93734080514073,-0.68359801073462,-1.46344108932745,-0.0538769251811636,-0.0051480126942288,"2"
"萬華區仁德里",-0.531279026168619,-0.0774988209713251,-0.00144927021397423,-0.303192844763659,0.552839268679469,0.449979834242397,"4"
"萬華區日善里",-1.09005139244985,-1.25692044767481,-1.29750623302252,-0.873186743722822,-0.618893603603093,-0.0301776552496552,"2"
"萬華區日祥里",-0.987740959187091,-1.17184316445966,-1.02493289048639,-0.605748848002648,1.53596287188147,-0.572596840026424,"9"
"萬華區榮德里",-1.12153152576147,-1.88096447937988,-1.97738814649104,-1.38239930274558,0.897193772097829,0.0719256443376784,"2"
"萬華區壽德里",-0.790990125989474,-0.905382840887322,-0.8599719786577,-0.689492027470582,-0.477074186888137,-0.186677241154214,"2"
"萬華區雙園里",-0.893300559252235,-1.03839707048259,-0.861826786287598,-0.867783957950698,-0.182501025714413,-0.838771100505714,"2"
"萬華區糖部里",-0.995610992514996,-0.997369954211322,-1.26350030224896,-0.894797886811321,0.411817746139092,-0.282716089902127,"2"
